[15-Mar-2013 11:14:15 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[19-Mar-2013 08:41:59 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[19-Mar-2013 13:30:55 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[19-Mar-2013 13:32:29 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[21-Mar-2013 13:10:59 America/Los_Angeles] PHP Notice:  Undefined variable: sDMTUserNameWrite in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 32
[21-Mar-2013 13:10:59 America/Los_Angeles] PHP Notice:  Undefined variable: sDMTUserPassWrite in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 32
[21-Mar-2013 13:11:00 America/Los_Angeles] PHP Warning:  mysql_connect(): Access denied for user ''@'localhost' (using password: NO) in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 32
[21-Mar-2013 13:12:13 America/Los_Angeles] PHP Notice:  Use of undefined constant newpassword - assumed 'newpassword' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 43
[21-Mar-2013 13:12:13 America/Los_Angeles] PHP Notice:  Undefined index: newpassword in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 43
[21-Mar-2013 13:12:13 America/Los_Angeles] PHP Notice:  A session had already been started - ignoring session_start() in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 49
[21-Mar-2013 13:12:13 America/Los_Angeles] PHP Notice:  Use of undefined constant myusername - assumed 'myusername' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 50
[21-Mar-2013 13:12:13 America/Los_Angeles] PHP Notice:  Undefined index: Submit in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 52
[21-Mar-2013 13:12:13 America/Los_Angeles] PHP Notice:  Use of undefined constant msg - assumed 'msg' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 146
[21-Mar-2013 13:12:13 America/Los_Angeles] PHP Notice:  Undefined index: msg in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 146
[21-Mar-2013 13:12:28 America/Los_Angeles] PHP Notice:  Use of undefined constant newpassword - assumed 'newpassword' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 43
[21-Mar-2013 13:12:28 America/Los_Angeles] PHP Notice:  A session had already been started - ignoring session_start() in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 49
[21-Mar-2013 13:12:28 America/Los_Angeles] PHP Notice:  Use of undefined constant myusername - assumed 'myusername' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 50
[21-Mar-2013 13:12:29 America/Los_Angeles] PHP Notice:  Use of undefined constant msg - assumed 'msg' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 146
[21-Mar-2013 13:12:29 America/Los_Angeles] PHP Notice:  Undefined index: msg in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 146
[21-Mar-2013 13:12:30 America/Los_Angeles] PHP Notice:  Use of undefined constant newpassword - assumed 'newpassword' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 43
[21-Mar-2013 13:12:30 America/Los_Angeles] PHP Notice:  Undefined index: newpassword in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 43
[21-Mar-2013 13:12:30 America/Los_Angeles] PHP Notice:  A session had already been started - ignoring session_start() in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 49
[21-Mar-2013 13:12:30 America/Los_Angeles] PHP Notice:  Use of undefined constant myusername - assumed 'myusername' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 50
[21-Mar-2013 13:12:30 America/Los_Angeles] PHP Notice:  Undefined index: Submit in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 52
[21-Mar-2013 13:12:30 America/Los_Angeles] PHP Notice:  Use of undefined constant msg - assumed 'msg' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 146
[27-Mar-2013 09:33:11 America/Los_Angeles] PHP Notice:  Undefined index: timestamp in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\dataminingtool.php on line 21
[10-Apr-2013 11:19:01 America/Los_Angeles] PHP Notice:  Use of undefined constant newpassword - assumed 'newpassword' in C:\BitNami\wampstack-5.4.12-0\apache2\htdocs\SMIDCT\PasswordReset.php on line 43
